UNSPSC,UNSPSC Name,Attribute ID,Attribute Name,Attribute Definition,Data Type,Max Character Length,Is Repeatable,Measurement UoM,Is Mandatory,Coded Value
24102001,Rack systems for rack mount electronic equipment,129,Application/Usage,This attribute provides information that where the product will be used.,Coded,254,Yes,,Mandatory,"Firewall,Fiber Module,Network Adapter,Cassette,Home Theater,Video Server,Video Encoder,Wireless Access Point,Computer,PDU,Automation Controller,LAN Switch,Lighting Equipment,Management Module,Adapter Panel,Keyboard,Network Convergence System,Network Tapping Device,Aisle Containment System,Network Media Player,A/V Equipment,Fiber Optic Cable Manager,Storage System,On-screen Network Controller,Fiber Splice Tray,Chassis,Optical Transmission Mainframe,Satellite Box,Power Module,Monitor,Patch Panel,Tablet,Media Converter,Hard Drive,Alarm Processing Unit,Transceiver,Adapter Plate,Video IP Controller,Tools,Battery Pack,UPS,Network Video Recorder,KVM Switch,Switch,Communications System,Network Amplifier,LCD,Storage Array,Video Console/Extender,Projector,Rectifier,Modem,DVR,Tool,Server,Router,Notebook,Transformer,Camera Controller,Add-on Card,Smartphone,Mouse,VoIP Device"
24102001,Rack systems for rack mount electronic equipment,11114056,Assembly Required,It defines if the product requires assembly or not.,Coded,254,No,,Mandatory,"No,Yes"
24102001,Rack systems for rack mount electronic equipment,11122,Color,"It defines the color of the product. (i.e. Red, Green, Blue.)",Text,254,Yes,,Mandatory,"Darkstone,Stainless Steel,Black Textured Powder Coat,Silver,Dark Cherry,Anthracite Gray,Maple,Aluminum,Smoked Gray,Chromium,Glossy Black,Metallic Gray Powder Coat,Light Oak,Orange,Silver Gray,Blue,Sand,Ash Gray,Aged Cherry,Graphite Gray Powder Coat,Ebony Fleck,Gray,Ivory,Chrome,Teak,Graphite Gray,Teak Cascade,Dark Pecan,Slate Gray,Vinyl,Gunstock Walnut Laminate,Black Powder Coat,Carbonite,Signal White,Royal Blue,Mahogany Laminate,Honey,Granite Gray,Pure White,Light Gray,Ebony Ash,Quartz Gray,Ice Gray,Flat Black,Brushed Black,Azure Blue,Royal Blue Textured Powder Coat,Dark Gray,Mahogany Veneer,Grained Dark Cherry,Beige,Carbon Ripple,Cherry Cascade,Black Gray,Neutral Gray,Walnut,Heather Violet,Metallic,Bone,Black Cascade,Grained Ebony Ash,Goose Gray,Glamour Cherry,Graphite,Umbra Gray,Oak Laminate,Heritage Walnut,Ocean Blue,High Gloss White,Metallic Carbonite,Black Textured,Turquoise Blue,Putty,Knotted Maple,Shark Gray,Natural Walnut,Slate Blue,Cream,Attractive Black,Red,Beech,Metallic Gray,Opal,Nitro Blue,Pepperstone,Metal,Ghost Gray,Graystone,White Aluminum,Cool Gray,White,Satin Silver,Matte,Graphite Black,Metallic Graphite,Jet Black,Silk Gray,Transparent,Clear,Black,Ebony Black,Black/Silver,Light Walnut,Honey Maple,Green,Sand Textured Black,Satin Black Powder Coat,Black Laminate,Black Oak Laminate,Textured Black Epoxy,Oak,Carbon,Mahogany,Smoke,Wenge,Gentian Blue,Sand Textured Powder Coat,Mill,Cherry,Cherry Laminate"
24102001,Rack systems for rack mount electronic equipment,111130312,Color Family,,Coded,254,Yes,,Optional,"Multicolor,Clear,Gray,Assorted Colors,Red,Beige,White,Black,Green,Pink,Blue,Purple,Orange,Silver,Gold,Brown,Yellow"
24102001,Rack systems for rack mount electronic equipment,11114112,Depth,"Dimensions (Height/Width/Depth..) are the measurements of the product with respect to its height, width or depth. It may extend to length, diameter and thickness depend upon the product or category rules and standards.",Float,,No,mm,Mandatory,
24102001,Rack systems for rack mount electronic equipment,111119756,Dynamic/Rolling Weight Capacity,A dynamic load refers to the weight that is placed on an object and then put in motion.,Float,,No,g,Mandatory,
24102001,Rack systems for rack mount electronic equipment,111126031,Energy Star,"A program that is designed to help consumers, businesses, and industry save money and protect the environment through the adoption of energy efficient products and practices.",Coded,254,No,,Mandatory,"No,Yes"
24102001,Rack systems for rack mount electronic equipment,111114842,Environmental Certification,"It is a certificate given to green products which are considered environmentally safe according to objective, authoritative testing. Such certificates are given by an independent third-party. Many vendors have their own initiatives and certifications for environmental friendly products, so that should not be confused with and taken in this attribute. Green products are those that have less of an impact on the environment or are less detrimental to human health than traditional equivalents. Green products might, typically, be formed or part-formed from recycled components, be manufactured in a more energy- conservative way, or be supplied to the market with less packaging.",Coded,254,Yes,,Mandatory,"CARB 93120 Phase 2,Taiwan Green Mark,CARB II,80 Plus Platinum,Green Tick,ENERGY STAR 1.1,ENERGY STAR 8.0,ENERGY STAR 5.5,SLC Greenergy,Korea MEPS,BPI,BS 5609,GreenPower UPS,Green Seal,MPR-3A,RoHS-9,SCS Indoor Advantage Gold,EUP Lot 5,New York RoHS,VDE,TÃœV Rheinland,PEP ecopassport,Nordic Ecolabel,80 Plus,CO2,EPEAT Silver,GS,RoHS-10,EcoSmart,RoHS-6,GreenCircle,Green Star,ENERGY STAR 6.2,MAS Certified Green,Canada ECOLOGO,BS 7272,ENERGY STAR 4.1,PCF,ENERGY STAR 5.2,NAPM,EcoLogo,Taiwan RoHS,ENERGY STAR 4.2,CRI Green Label,EuP Lot 6,California RoHS,VDE GS,CARB,CEL Grade 2,TCO Certified Displays,GreenTech,Cradle to Cradle (C2C),TCO Certified Desktops,China Energy Label (CEL),China Energy Efficiency Standard Tier 1,BS 7272-1,TCO Certified Notebooks 5.0,OHSAS 18001,TÃœV Rheinland Low Blue Light,TCO Certified Edge Displays 1.2,IT Eco Declaration,ENERGY STAR 7.0,CEC,TÃœV-GS,TCO '05,FSC Gold,SoyInk (SoySeal),UAE RoHS,ErP Teir 2,EuP1275,Eco-plus,80 Plus Silver,EIP,ENERGY STAR 5.1,APUR,GreenSpec,CertiPUR,ENERGY STAR 2.0,EU Ecolabel,Energy Star 7.1,ErP Lot 4,Battery Directive,ENERGY STAR 4.5,Eco Energy,Carbon Neutral,ErP Lot 9,TCO Certified Notebooks 4,GREENGUARD,SmartEco,TCO '03,Singapore Green Label,TÃœV Rheinland Green Product,CELP,ENERGY STAR 5.3,ErP Tier 1,EU RoHS,PEP,Ukraine RoHS,80 Plus Bronze,ECP,ENERGY STAR 6.0,TCO Certified Edge Displays 2.0,TCO 8,UTZ,FSC Mix,CO2 Neutral,OSHPD,80 Plus Standard,MPR II,ECHA,Australia/New Zealand MEPS,Design for the Environment (DfE),Korea E-Standby,ECF,VI (CEC),TCO Certified Displays 6.0,EPA,China Energy Label (CEL) Grade 1,GREENGUARD Gold,ENERGY STAR,CRI Green Label Plus,J-Moss (Japanese RoHS),EcoChamber,TCO Displays 5.0,TÃœV NORD,Green Dot,Intertek Green Leaf,EUP Lot 26,EuP Ready,Eco4Life,ELV,CPG,RoHS-7(c)-III,Serbia RoHS,BAM,MPR I,Vietnam MEPS,SFI,EUP Lot 3,OHSAS,TÃœV SÃœD-GS,MEPS Ukraine,ULE Gold,Carbon Neutral Plus,80 Plus EU,TÃœV,Eco Mark (Japan),LEED,EuP,Blue Angel RAL-UZ 171,TCO '99,Erp Lot 7,PEFC,LEED-EB,Green Mark,SmartWay,Green Premium,Ergonomics Mark,EPEAT Bronze,Eco Mark,China Energy Label (CEL) Grade 2,ISO 14021,China Energy Efficiency Standard Tier 2,Green-e,TÃœV S,TCO,South Africa MEPS,ErP Lot 3,WEEE,REACH,ECO-Declaration,EAEU RoHS,NF Environnment,TCO Certified Displays 5.2,PFOS,E-standby,ISO 14064-1,China RoHS 2,ENERGY STAR 3.0,Ecodesign,LEED-CI,ErP Ready,ULE Silver,RoHS 2,TCO Certified Edge Displays 1.1,Blue Angel RAL-UZ 205,CO2 Reduced,TCO Certified Displays 8.0,TCO'92,TCF,FSC,Green Restaurant,ENERGY STAR 1.2,SCS Indoor Advantage,CEL Grade 3,ISO 14001,TCO Certified Displays 6.1,Eco Level 6,Green America,EPEAT,ErP Lot 6,Green Label,ENERGY STAR 6.1,TCO Certified Displays 5.1,ENERGY STAR 1.0,ENERGY STAR 4.0,TCO Certified Notebooks 4.0,ErP/EuP Lot 6,SFC,China RoHS,GreenPC,Rainforest Alliance,US RoHS,TÃœV STAR,Korea RoHS,TCO Certified Displays 7.0,TCO '06,MPR III,India RoHS,ENERGY STAR 5.0,cTUVus,Blue Angel,EcoOK,WERCS,Green Range,ENERGY STAR 2.1,80 Plus Gold,WRAP,Erp Lot 5,HSF,Australia MEPS,RoHS-5,Cradle to Cradle (C2C) Gold,Japan PC Green Label,ECO,Nordic Swan,NEN 2728,EMAS,BioPreferred,MEPS,80 Plus White,China Green Product (CGP),80 Plus Titanium,EPEAT Gold,ECO PASSPORT,ErP/EuP,TÃœV SÃœD,GEEA Energy Efficiency Label,Vietnam RoHS,EU WEEE,RoHS 3,Austrian Ecolabel,Blue Angel DE-UZ 205,LEED-NC,MEPS V,TÃœV Rheinland GS,TCO '95,ErP/EuP Ready,TCO Certified Edge,ErP Lot 26,CECP,Elementree,CEL G1,Korea Eco-Label,Cradle to Cradle (C2C) Silver,SCS,Green (Eco),Paper by Nature,China MEPS,Turkey RoHS,OXFORD Acts For the Planet,Ukraine Energy Label,FAIRTRADE,EoHS,ISO 14024,RoHS,TCO 8.0,Ecolabel,TCO '07,TCO Certified Desktops 5.0,ISO 14000,ErP,TÃœV-Bauart"
24102001,Rack systems for rack mount electronic equipment,111114841,Environmentally Friendly,"This is a Boolean attribute which indicates if it is a green product or not. Green products are those that have less of an impact on the environment or are less detrimental to human health than traditional equivalents. Green products might, typically, be formed or part-formed from recycled components, be manufactured in a more energy- conservative way, or be supplied to the market with less packaging. This attribute is dependent on another attribute of Green Compliance Certificate/Authority.",Coded,254,No,,Mandatory,"No,Yes"
24102001,Rack systems for rack mount electronic equipment,11506,Form Factor,It indicates the physical specifications of the product.,Coded,254,Yes,,Mandatory,"Floor Standing,Rack-mountable,Wall Mountable,Tabletop,Desktop,Standalone,External,In-wall,Ceiling-mountable,Surface Mountable,Under Counter,Internal"
